family_uid,domains_present,omega_attractor_score_mean,omega_attractor_score_std,omega_attractor_score_min,omega_attractor_score_max,omega_attractor_score_cv,return_score_mean,return_score_std,return_score_min,return_score_max,return_score_cv,basin_score_mean,basin_score_std,basin_score_min,basin_score_max,basin_score_cv,return_probability_mean,return_probability_std,return_probability_min,return_probability_max,return_probability_cv,self_loop_ratio_mean,self_loop_ratio_std,self_loop_ratio_min,self_loop_ratio_max,self_loop_ratio_cv,inbound_unique_sources_mean,inbound_unique_sources_std,inbound_unique_sources_min,inbound_unique_sources_max,inbound_unique_sources_cv,inbound_transition_mass_mean,inbound_transition_mass_std,inbound_transition_mass_min,inbound_transition_mass_max,inbound_transition_mass_cv,premium_score_max_mean,premium_score_max_std,premium_score_max_min,premium_score_max_max,premium_score_max_cv,premium_score_mean_mean,premium_score_mean_std,premium_score_mean_min,premium_score_mean_max,premium_score_mean_cv
family_s13_e47,4,0.589248889034008,0.03282223773928712,0.5553359408420476,0.6429012844723285,0.05570182371169955,0.8891894018164007,0.017847528918253665,0.8635268779381052,0.9096438093769916,0.020071684257364567,0.624768748901344,0.09913196559968177,0.5436334654250389,0.7942902211972492,0.15866985308404966,0.8042398146249375,0.025624943512402167,0.7763445445338735,0.8418923124805477,0.03186231649617163,0.6266402843967297,0.10710954820113672,0.4750360990780851,0.7576727404477589,0.17092668771566724,71.5,13.219304066402286,54.0,90.0,0.1848853715580739,57660.25,21214.920272947056,36012.0,88408.0,0.3679297310182848,0.5575960373543969,0.020459332834917496,0.5343846640862198,0.5824999305732983,0.03669203413279272,0.507787435638526,0.012538863162614046,0.4934092383264895,0.5213522454734514,0.024693133942644403
family_s07_e42,4,0.5873662533070122,0.06042575502732429,0.5180478372311583,0.6734396729340261,0.10287576905740306,0.9161262597044374,0.0479056393617451,0.84947628668486,0.9664702653680912,0.052291525162918615,0.6111678860462455,0.14144315502698077,0.4844448447212543,0.8336400868902926,0.23143093453748342,0.8303079774451909,0.06838085837245116,0.7196749854904236,0.8942216451081256,0.08235601756212804,0.6242654888874964,0.09893164737897478,0.5300161490392492,0.7829158449356842,0.15847688065422433,65.75,20.78911975048487,44.0,88.0,0.3161843308058535,49463.5,31853.21031309089,18588.0,102566.0,0.6439740477946545,0.5343112113377592,0.017030609596174383,0.507057693133117,0.5495093555710931,0.0318739514253027,0.47547633798321537,0.01415733052652361,0.4532014581798901,0.4904247681863088,0.029775047453619814
family_s09_e43,4,0.5831393238558773,0.019146385279135123,0.5564260070427635,0.6096214114709072,0.03283329471340394,0.8996870814344513,0.027610662032046263,0.8552868047315805,0.93105851909347,0.030689183608176438,0.6034757127586465,0.03594501594740031,0.5554100689128905,0.6565959730738415,0.05956331827023521,0.8148969791285269,0.044850373033015145,0.7444585180493983,0.8576482830385016,0.0550380896993622,0.5675756618922033,0.14183739729926215,0.4294285772201163,0.798572007433386,0.24990042178059527,81.5,19.29378138157474,54.0,102.0,0.23673351388435263,45851.25,16651.490569540612,29100.0,71569.0,0.36316328496040157,0.5475836001094301,0.025831078624578622,0.5131529713324561,0.5839600679669485,0.04717284925884649,0.4767441502705885,0.007317577673052858,0.4645564344371976,0.483510302520796,0.015349066514816337
family_s10_e44,4,0.5816546259049257,0.01645206688973078,0.5554316382393647,0.6003298967645924,0.02828494119536144,0.9023106427818088,0.01342661313450024,0.8830461488498638,0.9198753472470969,0.014880255754388769,0.5962470145375206,0.055715451483202665,0.514425608173044,0.6640462986533787,0.0934435730909586,0.8213023391500429,0.033452504252827434,0.7832431160273006,0.875165523052847,0.04073104709216715,0.5603671276005595,0.12997467006965827,0.412603734439834,0.7609327767381604,0.23194556509086792,79.5,15.644487847162015,61.0,103.0,0.19678601065612597,46621.75,14382.534692727148,30265.0,69470.0,0.30849409755590784,0.5459626447609721,0.019083336821297564,0.518987900062698,0.5681334474407127,0.034953557728573975,0.4936829331386447,0.01803121466395144,0.4677649268639318,0.5135906454923003,0.03652387687238035
family_s13_e46,4,0.5808025351653636,0.02510883616096209,0.5509897316388116,0.6081726111386955,0.043231278516739274,0.8684026915942669,0.020613884972357215,0.8444620085748096,0.9013561372680926,0.023737702763809935,0.6225563631259663,0.07390065302396781,0.5245317299573551,0.7183161824785405,0.11870516053020401,0.7816127319941963,0.038222516464236085,0.7536297640653358,0.8473268304728979,0.048902115970802656,0.579616504127173,0.09438744039638375,0.452153184111947,0.7184792986719902,0.16284463904028915,79.25,16.037066439969625,61.0,105.0,0.20236045981034226,45225.75,9469.672417116655,32301.0,57605.0,0.20938674133909677,0.556198846237566,0.0210159539786829,0.5317505286322906,0.5805840747716626,0.037784965072916524,0.5011331269303431,0.012384119116484993,0.4877492017026043,0.5157371224780026,0.024712234037177053
family_s20_e49,4,0.5786258699942501,0.02492745861298014,0.5564127800488676,0.6208095904988513,0.04308044265844499,0.8692600506325955,0.014118419413344083,0.8485880505554602,0.8841237062962006,0.016241882280302128,0.5986793286765119,0.07481044609383763,0.5076825864227003,0.7151457607565521,0.12495912671516413,0.7769207100702474,0.022152046410597363,0.761248654467169,0.814819078316258,0.028512621846049677,0.6267062408992272,0.08090243430679955,0.5461955101969731,0.7296589454079851,0.12909147703829627,79.25,27.206387117733954,49.0,123.0,0.3432982601606808,34934.25,15764.26871718127,17182.0,57419.0,0.4512553931222588,0.5712569147485139,0.024322854353530928,0.5435851685831313,0.6000099710507553,0.042577785450944865,0.5299359063786078,0.02299432444334038,0.5078156769320259,0.5649055492369294,0.04339076512190947
family_s10_e45,4,0.5779078301210928,0.018088007247926113,0.5548912636671144,0.6050316305553265,0.031299121252840637,0.911072343925791,0.02082268848205428,0.8894751826328432,0.932887405600874,0.022855142756644076,0.570347516534888,0.05050197278024452,0.511580552333801,0.6265943065311571,0.08854596770591062,0.8264839508384259,0.02544174217020142,0.786088613625536,0.8533763788001076,0.030783104916183874,0.61902207345057,0.10017737146360882,0.5058868716115403,0.7803047579558412,0.16183166281163017,62.25,21.47527648250425,38.0,90.0,0.3449843611647269,50839.25,9932.647894066315,42648.0,67693.0,0.19537361180714338,0.5480793701404245,0.017844364264383433,0.5191003656827318,0.5662304019543662,0.03255799294144476,0.4892947873494441,0.006247276842965948,0.480174326126065,0.4978211889712524,0.01276792028954168
family_s16_e47,4,0.5696903113029546,0.014072489241158061,0.5548772397828984,0.5918533997398597,0.024701998545442135,0.8251729444769884,0.038697445171126645,0.7814580662755124,0.8698892136885171,0.04689616331962251,0.6312343282562948,0.05028687191285112,0.5636561828661448,0.7013185303840301,0.07966434913602094,0.7199784719793201,0.054140679619439525,0.658503168350745,0.7977179709785439,0.07519763677183199,0.6311351908012763,0.04190348563489183,0.5684718498659518,0.6865271068169619,0.06639383486395684,87.75,17.597940220378067,66.0,115.0,0.20054632729775576,37889.25,13221.451005373805,18630.0,55950.0,0.34894992657214924,0.5608527705933815,0.022049448337995894,0.5371337816218418,0.5849645214226625,0.03931414712397267,0.5185940314092452,0.017196609855030486,0.49820903011592,0.5447342216543964,0.03316006126854146
family_s07_e41,4,0.5673778329911454,0.030268286372432493,0.5215570161267865,0.6004810526998463,0.05334767171438801,0.8903581103490752,0.04816613014000296,0.8354471639400216,0.9528737854185836,0.05409748008149089,0.5755353417904686,0.04171385761679762,0.5162256138979467,0.6332138490928342,0.07247835986410042,0.7939153175710065,0.06836185061194029,0.6956521739130435,0.8784831460674157,0.08610723221853711,0.5641065341550295,0.14601320055556852,0.4289676211606462,0.8103668781503122,0.2588397611353332,73.0,16.537835408541227,49.0,92.0,0.226545690527962,37162.5,15514.171980805164,14056.0,57692.0,0.4174684690428567,0.5336816554037356,0.018458928474924512,0.5042475141053719,0.5515681771888452,0.03458790139781017,0.4689613898493925,0.013059041098153944,0.4472577315126666,0.4805912773578375,0.027846729775233458
family_s11_e46,4,0.5644877325464015,0.011063930613010593,0.5521778775331949,0.5823116142066758,0.01959994872359981,0.8951438265783129,0.020816123461197353,0.872341005881138,0.9172019797698407,0.023254501503704696,0.544891172140717,0.01814556058376591,0.5198850028837478,0.5711679737776897,0.03330125630862644,0.8028999687028738,0.02459893931145862,0.7699954812471758,0.8309388783868935,0.03063761398720624,0.6236668935839678,0.08985485984592921,0.511515884314605,0.7590832005755691,0.1440750836228756,58.75,12.55736835487436,44.0,74.0,0.21374244008296783,44255.25,5618.593746436914,38562.0,51277.0,0.12695880706666246,0.5483772772282153,0.01886025566117761,0.5244173764203865,0.5711125762890117,0.03439284675781457,0.494003581528929,0.015098585395032374,0.4680847831772489,0.5059098011241904,0.030563716457890088
family_s08_e42,4,0.5641470748327884,0.02679871528607131,0.5190159414488634,0.5866845774018239,0.04750306521400359,0.892161797940813,0.03981740526611722,0.8281855505792777,0.9362830522901509,0.044630251326630725,0.5541257043437253,0.03063322336753388,0.5119142514874192,0.5970512259403083,0.055282083338498274,0.8029918909546588,0.06015239611803554,0.7015977443609023,0.8562195121951219,0.07491034068416522,0.5542338899610588,0.12669700482059135,0.4297377680150847,0.762469540465357,0.22859844393400996,78.25,25.498774480354932,48.0,104.0,0.32586293265629307,37027.5,12865.843044666759,18640.0,51443.0,0.3474672350190199,0.5429905933412639,0.02460837685730841,0.507508991465405,0.5729398142768153,0.04532007949876639,0.47082527874357416,0.01335980258154528,0.4494622334097886,0.4858389364249584,0.028375287361793157
